county,year,area_ha,production_ha,population,yield_per_hectare,production_per_person,rainfall_mm,temperature_c
Garissa,2023,142,132,841353.0,0.9295774647887324,0.0001568901519338494,41.597500000000004,28.1525
Garissa,2024,222,382,841353.0,1.7207207207207207,0.0004540305912025036,41.597500000000004,28.1525
Homa Bay,2020,72097,92394,,1.2815235030583796,,,
Homa Bay,2021,79608,82278,,1.0335393427796202,,,
Homa Bay,2022,72215,86658,,1.2,,,
Homa Bay,2023,78795,115635,,1.4675423567485246,,,
Homa Bay,2024,89172,146866,,1.646996815143767,,,
Isiolo,2020,586,42,268002.0,0.07167235494880546,0.0001567152483936687,58.19333333333333,26.85666666666667
Isiolo,2021,147,139,268002.0,0.9455782312925171,0.0005186528458742846,58.19333333333333,26.85666666666667
Isiolo,2022,129,94,268002.0,0.7286821705426356,0.0003507436511667823,58.19333333333333,26.85666666666667
Isiolo,2023,256,176,268002.0,0.6875,0.0006567115170782307,58.19333333333333,26.85666666666667
Isiolo,2024,288,576,268002.0,2.0,0.002149237692256028,58.19333333333333,26.85666666666667
Kajiado,2020,31384,15543,1117840.0,0.4952523578893704,0.013904494382022473,53.025,21.715
Kajiado,2021,4808,2864,1117840.0,0.5956738768718802,0.002562084019179847,53.025,21.715
Kajiado,2022,32159,13063,1117840.0,0.40620044155601853,0.011685930007872325,53.025,21.715
Kajiado,2023,33241,40733,1117840.0,1.225384314551307,0.03643902526300723,53.025,21.715
Kajiado,2024,21906,40573,1117840.0,1.8521409659454031,0.03629589207757818,53.025,21.715
Kakamega,2020,83773,226888,1867579.0,2.708366657514951,0.12148776571165129,146.67249999999999,21.114166666666666
Kakamega,2021,98415,262506,1867579.0,2.6673372961438804,0.1405595158223561,146.67249999999999,21.114166666666666
Kakamega,2022,100641,154369,1867579.0,1.533857970409674,0.08265727982591366,146.67249999999999,21.114166666666666
Kakamega,2023,87532,132572,1867579.0,1.5145546771466436,0.07098601986850356,146.67249999999999,21.114166666666666
Kakamega,2024,105181,212753,1867579.0,2.0227322425152834,0.1139191434472116,146.67249999999999,21.114166666666666
Kericho,2020,34397,92731,901777.0,2.69590371253307,0.10283140953916545,136.5325,18.276666666666667
Kericho,2021,35068,98746,901777.0,2.8158435040492757,0.10950157300529953,136.5325,18.276666666666667
Kericho,2022,40530,85975,901777.0,2.1212681963977302,0.09533953516224078,136.5325,18.276666666666667
Kericho,2023,40643,111130,901777.0,2.734296188765593,0.12323445818644743,136.5325,18.276666666666667
Kericho,2024,43908,134358,901777.0,3.0599890680513804,0.14899248927395575,136.5325,18.276666666666667
Kiambu,2020,31528,43259,2417735.0,1.372081958893682,0.01789236620225128,86.86166666666666,17.995833333333334
Kiambu,2021,30371,25563,2417735.0,0.841691086892101,0.010573119055645057,86.86166666666666,17.995833333333334
Kiambu,2022,29174,19655,2417735.0,0.6737163227531363,0.008129509644357219,86.86166666666666,17.995833333333334
Kiambu,2023,30537,29692,2417735.0,0.9723286504895701,0.012280915815835895,86.86166666666666,17.995833333333334
Kiambu,2024,33534,39471,2417735.0,1.1770441939524066,0.016325610540443847,86.86166666666666,17.995833333333334
Kilifi,2020,71782,44585,1453787.0,0.6211167144966705,0.030668179038607444,72.44333333333334,26.418333333333333
Kilifi,2021,53943,26176,1453787.0,0.4852529521902749,0.018005388684862362,72.44333333333334,26.418333333333333
Kilifi,2022,72748,47780,1453787.0,0.6567878154725904,0.03286588750621652,72.44333333333334,26.418333333333333
Kilifi,2023,95674,81813,1453787.0,0.8551226038422142,0.056275781802973886,72.44333333333334,26.418333333333333
Kilifi,2024,51393,41907,1453787.0,0.8154223337808651,0.028826093506132605,72.44333333333334,26.418333333333333
Kirinyaga,2020,30505,40281,610411.0,1.3204720537616783,0.06598996413891624,107.15333333333332,18.093333333333334
Kirinyaga,2021,30373,24388,610411.0,0.8029499884766075,0.03995340844119782,107.15333333333332,18.093333333333334
Kirinyaga,2022,30503,13547,610411.0,0.4441202504671672,0.0221932435686775,107.15333333333332,18.093333333333334
Kirinyaga,2023,38467,49692,610411.0,1.291808563184028,0.08140744514761365,107.15333333333332,18.093333333333334
Kirinyaga,2024,28228,38468,610411.0,1.3627603797647725,0.06301983417730021,107.15333333333332,18.093333333333334
Kisii,2020,67286,132790,1266860.0,1.9735160360253248,0.10481821195712233,148.60916666666665,19.658333333333335
Kisii,2021,65876,96249,1266860.0,1.4610632096666465,0.07597445653031906,148.60916666666665,19.658333333333335
Kisii,2022,43735,79671,1266860.0,1.8216760032010975,0.06288855911466144,148.60916666666665,19.658333333333335
Kisii,2023,66221,119244,1266860.0,1.8006976638830583,0.0941256334559462,148.60916666666665,19.658333333333335
Kisii,2024,65900,41087,1266860.0,0.6234749620637329,0.03243215509211752,148.60916666666665,19.658333333333335
Kisumu,2020,46307,67307,1155574.0,1.4534951519208759,0.058245512619702414,131.57333333333332,22.03
Kisumu,2021,62600,40990,1155574.0,0.6547923322683706,0.03547154920411847,131.57333333333332,22.03
Kisumu,2022,54125,34513,1155574.0,0.6376535796766744,0.02986654251480217,131.57333333333332,22.03
Kisumu,2023,62195,105003,1155574.0,1.6882868397781172,0.09086653039961093,131.57333333333332,22.03
Kisumu,2024,48400,58657,1155574.0,1.2119214876033058,0.05076005517604238,131.57333333333332,22.03
Kitui,2020,87252,27960,1136187.0,0.3204511071379453,0.0246086251646956,57.527499999999996,25.194166666666664
Kitui,2021,79035,11508,1136187.0,0.14560637692161701,0.010128614391821065,57.527499999999996,25.194166666666664
Kitui,2022,62987,9183,1136187.0,0.14579198882309047,0.008082296312138759,57.527499999999996,25.194166666666664
Kitui,2023,83618,36292,1136187.0,0.43402138295582293,0.031941925052830215,57.527499999999996,25.194166666666664
Kitui,2024,89423,17845,1136187.0,0.19955716090938572,0.015706041347066987,57.527499999999996,25.194166666666664
Kwale,2020,56576,34061,866820.0,0.6020397341628959,0.03929420179506703,72.38250000000001,25.785833333333333
Kwale,2021,56128,33815,866820.0,0.6024622291904219,0.03901040585127247,72.38250000000001,25.785833333333333
Kwale,2022,23200,45428,866820.0,1.9581034482758621,0.052407650954061975,72.38250000000001,25.785833333333333
Kwale,2023,60518,61037,866820.0,1.0085759608711458,0.07041484968044115,72.38250000000001,25.785833333333333
Kwale,2024,58116,44127,866820.0,0.7592917613049762,0.05090676264968506,72.38250000000001,25.785833333333333
Laikipia,2020,26470,39422,518560.0,1.4893086513033622,0.07602206109225548,88.44666666666667,17.790833333333335
Laikipia,2021,24932,34520,518560.0,1.3845660195732392,0.06656896019746991,88.44666666666667,17.790833333333335
Laikipia,2022,25055,7288,518560.0,0.2908800638595091,0.014054304227090404,88.44666666666667,17.790833333333335
Laikipia,2023,29596,44264,518560.0,1.4956075145289904,0.08535945695772909,88.44666666666667,17.790833333333335
Laikipia,2024,29240,51372,518560.0,1.756908344733242,0.09906664609688368,88.44666666666667,17.790833333333335
Lamu,2020,37500,28325,143920.0,0.7553333333333333,0.1968107281823235,62.24333333333333,27.606666666666666
Lamu,2021,16820,4772,143920.0,0.28370986920332936,0.033157309616453585,62.24333333333333,27.606666666666666
Lamu,2022,39502,59102,143920.0,1.496177408738798,0.4106586992773763,62.24333333333333,27.606666666666666
Lamu,2023,45800,74318,143920.0,1.6226637554585153,0.516384102279044,62.24333333333333,27.606666666666666
Lamu,2024,23154,48436,143920.0,2.091906366070657,0.33654808226792665,62.24333333333333,27.606666666666666
Machakos,2020,133795,40927,1421932.0,0.30589334429537723,0.028782670338665984,71.98416666666667,21.124166666666667
Machakos,2021,144201,59321,1421932.0,0.41137717491556924,0.04171859132504226,71.98416666666667,21.124166666666667
Machakos,2022,134048,22597,1421932.0,0.16857394366197184,0.015891758536976452,71.98416666666667,21.124166666666667
Machakos,2023,138830,175493,1421932.0,1.2640855722826478,0.12341870075362253,71.98416666666667,21.124166666666667
Machakos,2024,158761,91910,1421932.0,0.578920515743791,0.06463740882123759,71.98416666666667,21.124166666666667
Makueni,2020,146562,120000,987653.0,0.8187661194579768,0.12150016250646735,55.178333333333335,22.74416666666667
Makueni,2021,150726,88013,987653.0,0.5839271260432839,0.08911328168901426,55.178333333333335,22.74416666666667
Makueni,2022,132910,83018,987653.0,0.6246181626664661,0.08405583742468256,55.178333333333335,22.74416666666667
Makueni,2023,136912,81363,987653.0,0.5942722332593199,0.08238014768344752,55.178333333333335,22.74416666666667
Makueni,2024,155337,83506,987653.0,0.5375795850312546,0.08454993808554219,55.178333333333335,22.74416666666667
Mandera,2020,3708,1847,867457.0,0.4981121898597627,0.002129212168441779,36.100833333333334,26.88
Mandera,2021,3510,1818,867457.0,0.517948717948718,0.002095781116527966,36.100833333333334,26.88
Mandera,2022,3209,2160,867457.0,0.6731068868806481,0.0024900369701322373,36.100833333333334,26.88
Mandera,2023,3209,2738,867457.0,0.8532253038329698,0.0031563524186213263,36.100833333333334,26.88
Mandera,2024,2828,3113,867457.0,1.1007779349363507,0.003588650503713729,36.100833333333334,26.88
Marsabit,2020,1023,293,459785.0,0.28641251221896386,0.0006372543688898072,42.715,26.945833333333336
Marsabit,2021,658,46,459785.0,0.06990881458966565,0.00010004676098611307,42.715,26.945833333333336
Marsabit,2022,591,3,459785.0,0.005076142131979695,6.5247887599638966e-06,42.715,26.945833333333336
Marsabit,2023,2184,337,459785.0,0.1543040293040293,0.000732951270702611,42.715,26.945833333333336
Marsabit,2024,1830,1089,459785.0,0.5950819672131148,0.0023684983198668944,42.715,26.945833333333336
Meru,2020,67416,74757,1545714.0,1.1088910644357421,0.04836405699890148,105.255,21.175833333333333
Meru,2021,75058,53331,1545714.0,0.7105305230621652,0.03450250175646982,105.255,21.175833333333333
Meru,2022,66338,63157,1545714.0,0.9520485995960083,0.040859434539636696,105.255,21.175833333333333
Meru,2023,142379,151039,1545714.0,1.060823576510581,0.09771471307111147,105.255,21.175833333333333
Meru,2024,136082,133150,1545714.0,0.9784541673402801,0.08614142072854357,105.255,21.175833333333333
Mombasa,2020,606,803,1208333.0,1.325082508250825,0.0006645519074625952,84.25166666666667,26.485
Mombasa,2021,649,0,1208333.0,0.0,0.0,84.25166666666667,26.485
Mombasa,2022,842,272,1208333.0,0.32304038004750596,0.00022510351037338216,84.25166666666667,26.485
Mombasa,2023,876,878,1208333.0,1.0022831050228311,0.0007266208901023145,84.25166666666667,26.485
Mombasa,2024,867,770,1208333.0,0.8881199538638985,0.0006372415551011187,84.25166666666667,26.485
Murang’a,2020,66381,63653,,0.9589039032253205,,,
Murang’a,2021,62983,49256,,0.7820522998269375,,,
Murang’a,2022,67530,47434,,0.7024137420405746,,,
Murang’a,2023,68399,56827,,0.8308162400035088,,,
Murang’a,2024,54189,55488,,1.023971654763882,,,
Nairobi,2020,684,972,,1.4210526315789473,,76.69083333333333,18.925
Nairobi,2021,754,571,,0.7572944297082228,,76.69083333333333,18.925
Nairobi,2022,661,246,,0.3721633888048411,,76.69083333333333,18.925
Nairobi,2023,758,676,,0.8918205804749341,,76.69083333333333,18.925
Nairobi,2024,713,641,,0.8990182328190743,,76.69083333333333,18.925
Nakuru,2020,64963,206151,2162202.0,3.1733602204331697,0.09534308080373619,85.145,15.633333333333333
Nakuru,2021,87651,242825,2162202.0,2.7703620038562025,0.11230449328971114,85.145,15.633333333333333
Nakuru,2022,66315,213786,2162202.0,3.2237955213752545,0.09887420324280526,85.145,15.633333333333333
Nakuru,2023,71470,215412,2162202.0,3.0140198684762836,0.09962621438699992,85.145,15.633333333333333
Nakuru,2024,94421,201876,2162202.0,2.1380413255525785,0.09336592973274467,85.145,15.633333333333333
Nandi,2020,59746,165866,885711.0,2.776185853446256,0.18726875922281647,135.34,18.8
Nandi,2021,26825,64175,885711.0,2.392357875116496,0.0724559139493582,135.34,18.8
Nandi,2022,45674,89447,885711.0,1.958378946446556,0.10098892302342412,135.34,18.8
Nandi,2023,67429,159556,885711.0,2.366281570244257,0.1801445392458714,135.34,18.8
Nandi,2024,57812,179389,885711.0,3.1029717013768767,0.2025367190878289,135.34,18.8
Narok,2020,116717,202855,1157873.0,1.7380073168433048,0.17519624345675217,89.3075,17.97
Narok,2021,121809,280273,1157873.0,2.3009219351607846,0.24205849864363363,89.3075,17.97
Narok,2022,127460,271028,1157873.0,2.126376902557665,0.23407403057157392,89.3075,17.97
Narok,2023,132396,314403,1157873.0,2.3747167588144658,0.27153496108813313,89.3075,17.97
Narok,2024,122245,224236,1157873.0,1.8343163319563172,0.1936619992002577,89.3075,17.97
Nyamira,2020,42730,67563,605576.0,1.5811607769716827,0.11156815990065656,144.665,19.329166666666666
Nyamira,2021,43134,61937,605576.0,1.4359206194649232,0.10227783135395062,144.665,19.329166666666666
Nyamira,2022,48280,76884,605576.0,1.592460646230323,0.12696011730980092,144.665,19.329166666666666
Nyamira,2023,48175,63424,605576.0,1.316533471717696,0.10473334478248808,144.665,19.329166666666666
Nyamira,2024,48580,89599,605576.0,1.8443598188554962,0.14795665614225134,144.665,19.329166666666666
Nyandarua,2020,17660,39170,638289.0,2.2180067950169877,0.06136718633722342,92.08166666666666,15.319166666666668
Nyandarua,2021,14070,27958,638289.0,1.9870646766169153,0.04380147550717622,92.08166666666666,15.319166666666668
Nyandarua,2022,20060,26836,638289.0,1.3377866400797607,0.04204365107341659,92.08166666666666,15.319166666666668
Nyandarua,2023,20716,46617,638289.0,2.250289631202935,0.07303431517698096,92.08166666666666,15.319166666666668
Nyandarua,2024,14987,28698,638289.0,1.9148595449389472,0.04496082495546688,92.08166666666666,15.319166666666668
Nyeri,2020,26521,26251,759164.0,0.9898193884091852,0.034578826182484944,118.01666666666667,14.495833333333332
Nyeri,2021,27067,19382,759164.0,0.7160749251856504,0.025530715365849804,118.01666666666667,14.495833333333332
Nyeri,2022,26984,14323,759164.0,0.5307960272754225,0.018866806118309088,118.01666666666667,14.495833333333332
Nyeri,2023,31317,35280,759164.0,1.1265446881885237,0.04647217202080183,118.01666666666667,14.495833333333332
Nyeri,2024,29248,24832,759164.0,0.849015317286652,0.03270966484185235,118.01666666666667,14.495833333333332
Samburu,2020,10320,9756,310327.0,0.9453488372093023,0.031437805927296045,81.3275,22.925
Samburu,2021,12425,12090,310327.0,0.9730382293762575,0.03895890463929984,81.3275,22.925
Samburu,2022,15870,11178,310327.0,0.7043478260869566,0.036020069152861336,81.3275,22.925
Samburu,2023,6448,15298,310327.0,2.372518610421836,0.04929638735914052,81.3275,22.925
Samburu,2024,11572,9135,310327.0,0.7894054614586934,0.029436690974359307,81.3275,22.925
Siaya,2020,63493,72351,993183.0,1.1395114422062274,0.07284760210353983,125.33166666666666,23.145
Siaya,2021,83933,53512,993183.0,0.6375561459735741,0.05387929515507213,125.33166666666666,23.145
Siaya,2022,73521,76580,993183.0,1.041607159859088,0.07710562907339333,125.33166666666666,23.145
Siaya,2023,77550,115191,993183.0,1.485377176015474,0.11598164688682751,125.33166666666666,23.145
Siaya,2024,77660,143979,993183.0,1.8539660056657223,0.1449672416865774,125.33166666666666,23.145
Taita_Taveta,2020,10006,16643,340671.0,1.6633020187887269,0.048853586011136846,62.392500000000005,23.898333333333337
Taita_Taveta,2021,12252,3360,340671.0,0.2742409402546523,0.009862888241147618,62.392500000000005,23.898333333333337
Taita_Taveta,2022,11464,10893,340671.0,0.9501919050942079,0.03197513143179196,62.392500000000005,23.898333333333337
Taita_Taveta,2023,13596,12393,340671.0,0.9115180935569285,0.03637820653944715,62.392500000000005,23.898333333333337
