county,year,area_ha,production_ha
Uasin Gishu,2024,107009,483211
Vihiga,2020,25134,30566
Vihiga,2021,22340,24191
Vihiga,2022,26142,25335
Vihiga,2023,24921,29659
Vihiga,2024,24771,34171
Wajir,2020,98,39
Wajir,2021,54,19
Wajir,2022,72,25
Wajir,2023,132,34
Wajir,2024,278,216
West_Pokot,2020,32354,23400
West_Pokot,2021,34911,53193
West_Pokot,2022,34780,52650
West_Pokot,2023,49097,96010
West_Pokot,2024,56403,96984
"Migori                                               78,222            95,966            95,034             99,598                85,628            92,441        78,567             101,474        88,449           148,919",2020,78222,95966
"Migori                                               78,222            95,966            95,034             99,598                85,628            92,441        78,567             101,474        88,449           148,920",2021,95034,99598
"Migori                                               78,222            95,966            95,034             99,598                85,628            92,441        78,567             101,474        88,449           148,921",2022,85628,92441
"Migori                                               78,222            95,966            95,034             99,598                85,628            92,441        78,567             101,474        88,449           148,922",2023,78567,101474
"Migori                                               78,222            95,966            95,034             99,598                85,628            92,441        78,567             101,474        88,449           148,923",2024,88449,148919
