county,year,area_ha,production_ha,population,rainfall_mm,temperature_c,yield_per_hectare,production_per_person,log_production,rainfall_efficiency
Kiambu,2022,29174,19655,2417735.0,86.86166666666666,17.995833333333334,0.6737163227531363,0.008129509644357219,9.886137914201015,226.27933303912351
Kiambu,2023,30537,29692,2417735.0,86.86166666666666,17.995833333333334,0.9723286504895701,0.012280915815835895,10.298666606775793,341.83088051883266
Kiambu,2024,33534,39471,2417735.0,86.86166666666666,17.995833333333334,1.1770441939524066,0.016325610540443847,10.583346838769138,454.4121879617016
Kilifi,2020,71782,44585,1453787.0,72.44333333333334,26.418333333333333,0.6211167144966705,0.030668179038607444,10.705175187385525,615.4465559287719
Kilifi,2021,53943,26176,1453787.0,72.44333333333334,26.418333333333333,0.4852529521902749,0.018005388684862362,10.172636441606745,361.33069525606214
Kilifi,2022,72748,47780,1453787.0,72.44333333333334,26.418333333333333,0.6567878154725904,0.03286588750621652,10.77438334991989,659.5499930980536
Kilifi,2023,95674,81813,1453787.0,72.44333333333334,26.418333333333333,0.8551226038422142,0.056275781802973886,11.312203657090748,1129.3378732802648
Kilifi,2024,51393,41907,1453787.0,72.44333333333334,26.418333333333333,0.8154223337808651,0.028826093506132605,10.643232018472856,578.4797312842221
Kirinyaga,2020,30505,40281,610411.0,107.15333333333332,18.093333333333334,1.3204720537616783,0.06598996413891624,10.603659998032827,375.9192434517514
Kirinyaga,2021,30373,24388,610411.0,107.15333333333332,18.093333333333334,0.8029499884766075,0.03995340844119782,10.101887489959422,227.5990792011448
Kirinyaga,2022,30503,13547,610411.0,107.15333333333332,18.093333333333334,0.4441202504671672,0.0221932435686775,9.513994213937663,126.42630498351274
Kirinyaga,2023,38467,49692,610411.0,107.15333333333332,18.093333333333334,1.291808563184028,0.08140744514761365,10.8136193570947,463.746655882536
Kirinyaga,2024,28228,38468,610411.0,107.15333333333332,18.093333333333334,1.3627603797647725,0.06301983417730021,10.557608001127225,358.99956448702795
Kisii,2020,67286,132790,1266860.0,148.60916666666665,19.658333333333335,1.9735160360253248,0.10481821195712233,11.79653174264357,893.5518782488743
Kisii,2021,65876,96249,1266860.0,148.60916666666665,19.658333333333335,1.4610632096666465,0.07597445653031906,11.474704252150032,647.6652965552821
Kisii,2022,43735,79671,1266860.0,148.60916666666665,19.658333333333335,1.8216760032010975,0.06288855911466144,11.285673485611476,536.1109397693054
Kisii,2023,66221,119244,1266860.0,148.60916666666665,19.658333333333335,1.8006976638830583,0.0941256334559462,11.68893547915038,802.4000314022801
Kisii,2024,65900,41087,1266860.0,148.60916666666665,19.658333333333335,0.6234749620637329,0.03243215509211752,10.623471387049634,276.47688848265307
Kisumu,2020,46307,67307,1155574.0,131.57333333333332,22.03,1.4534951519208759,0.058245512619702414,11.117034379296337,511.5550263477909
Kisumu,2021,62600,40990,1155574.0,131.57333333333332,22.03,0.6547923322683706,0.03547154920411847,10.621107809394994,311.537292257803
Kisumu,2022,54125,34513,1155574.0,131.57333333333332,22.03,0.6376535796766744,0.02986654251480217,10.449120317807525,262.30999189298745
Kisumu,2023,62195,105003,1155574.0,131.57333333333332,22.03,1.6882868397781172,0.09086653039961093,11.561753723652151,798.0568504256182
Kisumu,2024,48400,58657,1155574.0,131.57333333333332,22.03,1.2119214876033058,0.05076005517604238,10.979479247166704,445.8122213214431
Kitui,2020,87252,27960,1136187.0,57.527499999999996,25.194166666666664,0.3204511071379453,0.0246086251646956,10.238565961087293,486.02842118986575
Kitui,2021,79035,11508,1136187.0,57.527499999999996,25.194166666666664,0.14560637692161701,0.010128614391821065,9.350884616968491,200.04345747685892
Kitui,2022,62987,9183,1136187.0,57.527499999999996,25.194166666666664,0.14579198882309047,0.008082296312138759,9.125218118559348,159.62800399808788
Kitui,2023,83618,36292,1136187.0,57.527499999999996,25.194166666666664,0.43402138295582293,0.031941925052830215,10.499380164191843,630.8635000651863
Kitui,2024,89423,17845,1136187.0,57.527499999999996,25.194166666666664,0.19955716090938572,0.015706041347066987,9.789534672460096,310.19946981878235
